case,prior,c_p,delta0,d_TR,c_TR,U_S_TR,U_R_TR,TR_acceptance,d_PR,c_PR,U_S_PR,U_R_PR,PR_acceptance,U_R_PR_minus_TR
B0,"N(0,1)",4.0,15.0,2.332131949897777,2.206399751699776,0.16255162065448675,0.4999078052903801,0.6211127924670967,2.384301789996887,2.2045819783775706,0.16291483842550641,0.5304919071426948,0.6404748653803654,0.030584101852314693
A1,"3/4 N(-3/14,225/196) + 1/4 N(9/14,1/196)",4.0,15.0,1.648372528269393,2.213846773819967,0.24151267737049534,0.15782143854596103,0.4788948045918685,1.6163388508954157,2.2083990802014704,0.24251744466472394,0.14371355210361825,0.4732454644261148,-0.014107886442342787
