case,prior,c_p,delta0,TR_type,TR_acceptance,PR_acceptance,U_R_PR,U_R_TR,U_R_PR_minus_TR,d_PR,c_PR
B1,"N(0,1)",0.8333333333333334,15.0,mixed,0.5729195385902061,0.6406612414653741,0.5302679352598683,0.4921224772886719,0.03814545797119634,2.383986504989317,2.206059064251562
B2,"N(0,1)",0.8333333333333334,20000.0,mixed,0.6032879252726181,0.6320858239869328,0.5288212324567267,0.5408203430613582,-0.011999110604631436,2.380239477448182,2.1429448947769933
